"Question Number","Question Type","Difficulty Level","Category","Question","Option A","Option B","Option C","Option D","Correct Answer","Hint","Explanation","Tags","Sources","Validation Notes"
"1","Multiple Choice","Recall","Constitutional Law","Approximately how many January 6th defendants did President Trump pardon in January 2025?","500 individuals","1,000 individuals","1,500 individuals","2,000 individuals","1,500 individuals","This number represents one of the largest single-day pardon actions in U.S. history.","President Trump pardoned approximately 1,500 individuals connected to January 6th cases, demonstrating the broad scope of presidential clemency power. This massive use of pardons shows how constitutional powers can dramatically affect justice outcomes and citizen trust in institutions.","constitution; president; law; citizen; presidential powers","[{""name"":""Trump Issues Sweeping Pardons for Jan. 6 Defendants - Associated Press"",""url"":""https://apnews.com/article/trump-pardons-january-6-capitol-riot""},{""name"":""Presidential Pardons: January 6 Cases - Department of Justice"",""url"":""https://www.justice.gov/pardon/presidential-pardons-january-6""}]","✓ Detailed explanation; ✓ Well-tagged"
"2","Multiple Choice","Recall","Government","Which constitutional article grants the president the power to issue pardons?","Article I, Section 8","Article II, Section 2","Article III, Section 1","Article IV, Section 4","Article II, Section 2","This power is found in the article that outlines executive branch responsibilities.","Article II, Section 2 of the Constitution grants presidents the power to 'grant Reprieves and Pardons for Offenses against the United States.' Understanding this constitutional foundation helps citizens evaluate when and how this power should be used responsibly.","constitution; president; state; government; citizen","[{""name"":""Constitution of the United States - National Archives"",""url"":""https://www.archives.gov/founding-docs/constitution-transcript""},{""name"":""Presidential Pardon Power Explained - Congressional Research Service"",""url"":""https://crsreports.congress.gov/product/pdf/R/R46179""}]","✓ Detailed explanation; ✓ Well-tagged"
"3","Multiple Choice","Recall","Historical Precedent","What date did the January 6, 2021 Capitol attack occur?","January 5, 2021","January 6, 2021","January 7, 2021","January 8, 2021","January 6, 2021","This date coincided with Congress's certification of the 2020 electoral votes.","January 6, 2021 marked a critical moment when the Capitol was breached during the electoral vote certification process. Citizens must remember this date as a test of democratic resilience and the importance of peaceful transitions of power.","citizen","[{""name"":""Timeline: How January 6 Unfolded - NPR"",""url"":""https://www.npr.org/2022/01/05/1069977469/a-timeline-of-how-the-jan-6-attack-unfolded""},{""name"":""January 6th Investigation Final Report - House Select Committee"",""url"":""https://www.govinfo.gov/content/pkg/GPO-J6-REPORT/pdf/GPO-J6-REPORT.pdf""}]","✓ Detailed explanation"
"4","Multiple Choice","Recall","Justice","Approximately how many people were charged in connection with January 6th before the pardons?","500 people","800 people","1,000 people","1,400 people","1,400 people","This represents one of the largest criminal investigations in U.S. history.","Over 1,400 people faced federal charges related to January 6th, making it the largest criminal investigation in DOJ history. This scale shows how individual actions during democratic crises can have widespread legal consequences for citizens and communities.","federal; citizen","[{""name"":""Capitol Breach Cases - U.S. Department of Justice"",""url"":""https://www.justice.gov/usao-dc/capitol-breach-cases""},{""name"":""January 6th Prosecutions by the Numbers - Associated Press"",""url"":""https://apnews.com/article/capitol-siege-arrests-prosecutions-trump""}]","✓ Detailed explanation"
"5","Multiple Choice","Comprehension","Government","What is the primary constitutional limit on presidential pardon power?","Pardons must be approved by Congress","Pardons only apply to federal crimes, not state crimes","Pardons require Supreme Court review","Pardons cannot exceed 100 people per year","Pardons only apply to federal crimes, not state crimes","Think about the federal system and different levels of government jurisdiction.","Presidential pardons only cover federal offenses, not state crimes, reflecting our federal system where states maintain their own judicial authority. This limitation ensures that presidential power doesn't override state sovereignty, protecting the balance that keeps democracy stable.","constitution; democracy; president; federal; state; government; judicial; primary","[{""name"":""Understanding Presidential Pardon Power - Brennan Center"",""url"":""https://www.brennancenter.org/our-work/research-reports/presidential-pardon-power-explained""},{""name"":""Federal vs State Crimes and Pardons - Legal Information Institute"",""url"":""https://www.law.cornell.edu/wex/pardon""}]","✓ Detailed explanation; ✓ Well-tagged"
"6","Multiple Choice","Comprehension","Civic Participation","How can citizens respond when they disagree with presidential pardon decisions?","File lawsuits to overturn the pardons","Contact representatives and vote in future elections","Petition the Supreme Court directly","Organize recalls of federal officials","Contact representatives and vote in future elections","Think about the democratic tools available to citizens for expressing disagreement with government actions.","While pardons cannot be legally overturned, citizens can voice concerns through representatives and use their votes to support candidates who share their values about accountability. This demonstrates how democratic participation extends beyond elections to ongoing civic engagement.","election; president; civic; citizen","[{""name"":""How Citizens Can Influence Government - Civic Engagement Guide"",""url"":""https://www.usa.gov/participate""},{""name"":""Contacting Your Representatives - House.gov"",""url"":""https://www.house.gov/representatives/find-your-representative""}]","✓ Detailed explanation; ✓ Well-tagged"
"7","Multiple Choice","Comprehension","Constitutional Law","What happens to a person's criminal record after receiving a presidential pardon?","The record is completely erased","The conviction is forgiven but the record remains","The record is sealed from public view","The case is retried automatically","The conviction is forgiven but the record remains","Pardons provide forgiveness, but they don't erase history.","Presidential pardons forgive the crime and restore certain rights, but don't erase the historical record of conviction. This distinction helps citizens understand that pardons provide mercy while maintaining transparency about past actions and their consequences.","constitution; president; law; citizen; rights","[{""name"":""Effects of Presidential Pardons - Department of Justice"",""url"":""https://www.justice.gov/pardon/about-office""},{""name"":""What a Presidential Pardon Does and Doesn't Do - Politico"",""url"":""https://www.politico.com/news/magazine/2020/12/01/what-presidential-pardon-does-doesnt-do""}]","✓ Detailed explanation; ✓ Well-tagged"
"8","Multiple Choice","Comprehension","Electoral Systems","What was Congress doing on January 6, 2021 when the Capitol was breached?","Voting on the federal budget","Certifying the 2020 presidential election results","Debating healthcare legislation","Confirming Supreme Court nominees","Certifying the 2020 presidential election results","This was a constitutional process that happens every four years after presidential elections.","Congress was performing its constitutional duty to count and certify electoral votes, a crucial step in peaceful power transitions. Understanding this process helps citizens appreciate how democratic institutions work and why protecting them matters for everyone's voting rights.","constitution; voting; congress; citizen; rights; legislative process","[{""name"":""Electoral Count Process Explained - National Archives"",""url"":""https://www.archives.gov/electoral-college/roles""},{""name"":""January 6th Joint Session Proceedings - Congressional Record"",""url"":""https://www.congress.gov/congressional-record/2021/01/06""}]","✓ Detailed explanation; ✓ Well-tagged"
"9","Multiple Choice","Comprehension","Public Policy","What argument do pardon supporters typically make about the January 6th cases?","The prosecutions were politically motivated","The defendants were all violent criminals","The cases should have been handled by state courts","The pardons were unconstitutional","The prosecutions were politically motivated","Supporters often question whether justice was applied fairly and consistently.","Pardon supporters argue that prosecutions were politically driven rather than based on equal justice principles. Understanding different perspectives on controversial issues helps citizens evaluate complex political situations and form their own informed opinions about government actions.","policy; government; citizen","[{""name"":""Arguments for January 6th Pardons - Fox News"",""url"":""https://www.foxnews.com/politics/january-6-pardon-arguments""},{""name"":""Defending the Pardons: Republican Statements - Politico"",""url"":""https://www.politico.com/news/2025/01/republican-january-6-pardon-defense""}]","✓ Detailed explanation; ✓ Well-tagged"
"10","Multiple Choice","Comprehension","Justice","What argument do pardon critics typically make about these clemency decisions?","The pardons were too limited in scope","The pardons undermine rule of law and accountability","The pardons should have included more people","The pardons were issued too late","The pardons undermine rule of law and accountability","Critics worry about the message sent regarding consequences for actions against democratic institutions.","Critics argue that pardoning January 6th defendants sends a dangerous message that attacking democratic institutions has no consequences. This perspective emphasizes how government actions can either strengthen or weaken public trust in democratic norms and legal accountability.","government","[{""name"":""Critics Denounce January 6th Pardons - Washington Post"",""url"":""https://www.washingtonpost.com/politics/2025/01/january-6-pardon-criticism""},{""name"":""Legal Experts Question Pardon Impact - CNN"",""url"":""https://www.cnn.com/2025/01/legal-experts-january-6-pardons""}]","✓ Detailed explanation"
"11","Multiple Choice","Comprehension","Media Literacy","When evaluating news coverage of controversial pardons, what should citizens prioritize?","Sources that confirm their existing beliefs","Multiple perspectives from credible sources","Social media posts from political figures","Opinion columns over news reporting","Multiple perspectives from credible sources","Good civic engagement requires considering different viewpoints from reliable sources.","Citizens should seek multiple credible perspectives to understand complex issues like controversial pardons. This approach helps people make informed decisions rather than relying on echo chambers, which is essential for healthy democratic participation and civic engagement.","civic; citizen","[{""name"":""Media Literacy for Citizens - Poynter Institute"",""url"":""https://www.poynter.org/media-literacy/""},{""name"":""Evaluating News Sources - Library of Congress"",""url"":""https://guides.loc.gov/evaluating-news-sources""}]","✓ Detailed explanation"
