"Question Number","Question Type","Difficulty Level","Category","Question","Option A","Option B","Option C","Option D","Correct Answer","Hint","Explanation","Tags","Sources","Validation Notes"
"1","Multiple Choice","Recall","Government","Which federal judge first issued a temporary restraining order blocking the Trump administration's funding freeze?","Judge John McConnell in Rhode Island","Judge Loren AliKhan in Washington D.C.","Judge Angel Kelley in Massachusetts","Judge Jack McConnell in Connecticut","Judge Loren AliKhan in Washington D.C.","Think about which court location was mentioned first in the timeline of legal challenges.","When you vote for federal judges through Senate confirmation, you're choosing people who can stand up to presidential overreach. Judge AliKhan's quick action shows how an independent judiciary protects your rights when other branches of government overstep their authority.","senate; president; federal; government","[{""name"":""Federal judge halts Trump freeze on federal grants and loans for a week - PBS News"",""url"":""https://www.pbs.org/newshour/politics/federal-judge-halts-trump-freeze-on-federal-grants-and-loans-for-a-week""},{""name"":""Judge blocks Trump federal funding freeze on all public loans, grants and more aid - CBS News"",""url"":""https://www.cbsnews.com/news/trump-freeze-federal-loans-grants-white-house-memo/""}]","✓ Detailed explanation; ✓ Well-tagged"
"2","Multiple Choice","Recall","Government","How many states joined the lawsuit against the Trump administration's funding freeze?","18 states plus Washington D.C.","20 states plus Washington D.C.","22 states plus Washington D.C.","24 states plus Washington D.C.","22 states plus Washington D.C.","Look for the specific number mentioned repeatedly in news reports about the multistate coalition.","This massive coalition shows how state attorneys general can work together to challenge federal overreach. When you vote for your state's attorney general, you're choosing someone who might need to defend your state's interests against the federal government.","federal; state; law; government","[{""name"":""US judge temporarily blocks Trump from freezing federal funding - Reuters (Alternative)"",""url"":""https://reuters.com""},{""name"":""Full List of States Suing Donald Trump Over Federal Funding Freeze - Newsweek"",""url"":""https://www.newsweek.com/full-list-states-suing-donald-trump-federal-funding-freeze-2022653""}]","✓ Detailed explanation; ✓ Well-tagged"
"3","Multiple Choice","Recall","Constitutional Law","What is the name of the 1974 law that restricts presidents from withholding congressionally appropriated funds?","Congressional Budget Control Act","Federal Spending Oversight Act","Impoundment Control Act","Executive Budget Limitation Act","Impoundment Control Act","Think about the specific term used to describe when a president refuses to spend money Congress has allocated.","This law exists because President Nixon tried to ignore Congress's spending decisions in the 1970s. Understanding this helps you recognize when politicians are following proper procedures versus trying to grab power they don't legally have.","constitution; congress; president; law","[{""name"":""Why this Nixon-inspired law says Trump can't freeze federal funding - Axios"",""url"":""https://www.axios.com/2025/01/29/trump-federal-funding-freeze-nixon-law""},{""name"":""What you need to know about impoundment, and how Trump vows to use it - PBS News"",""url"":""https://www.pbs.org/newshour/politics/what-you-need-to-know-about-impoundment-and-how-trump-vows-to-use-it""}]","✓ Detailed explanation; ✓ Well-tagged"
"4","Multiple Choice","Recall","Government","Which federal agency issued the original memo ordering the funding freeze?","Department of Treasury","Office of Management and Budget (OMB)","Department of Health and Human Services","General Services Administration","Office of Management and Budget (OMB)","Consider which agency typically handles federal budget decisions and spending oversight.","The OMB controls how federal money flows to states and organizations. When you understand which agencies have this power, you can better track how your tax dollars are being managed and hold officials accountable for their decisions.","federal; state; government","[{""name"":""Second judge temporarily blocks federal funding freeze efforts by Trump administration - PBS News"",""url"":""https://www.pbs.org/newshour/politics/second-judge-temporarily-blocks-federal-funding-freeze-efforts-by-trump-administration""},{""name"":""Federal judge temporarily blocks Trump administration freeze on federal grants and loans - AP News (Alternative)"",""url"":""https://apnews.com""}]","✓ Detailed explanation; ✓ Well-tagged"
"5","Multiple Choice","Comprehension","Constitutional Law","According to the Impoundment Control Act, what must a president do before withholding congressionally appropriated funds?","Get approval from the Supreme Court","Submit a request to Congress and wait 45 days for a response","Declare a national emergency","Obtain permission from state governors","Submit a request to Congress and wait 45 days for a response","Remember that Congress controls spending, so they need to be involved in any changes to their budget decisions.","This process ensures Congress keeps control over spending decisions they've already made. When you vote for representatives and senators, you're choosing people who will have the final say on whether presidential spending changes are approved.","constitution; congress; president; law","[{""name"":""Why this Nixon-inspired law says Trump can't freeze federal funding - Axios"",""url"":""https://www.axios.com/2025/01/29/trump-federal-funding-freeze-nixon-law""},{""name"":""How a 1974 law prohibits presidents from blocking congressional spending - The Pennsylvania Independent"",""url"":""https://pennsylvaniaindependent.com/politics/congress-spending-donald-trump-presidents-richard-nixon-impoundment-control-act-1974""}]","✓ Detailed explanation; ✓ Well-tagged"
"6","Multiple Choice","Comprehension","Government","What was the estimated total value of federal funding that could have been affected by the Trump administration's freeze?","$1 trillion","$2 trillion","$3 trillion","$5 trillion","$3 trillion","Look for the specific dollar amount mentioned in the White House memo about federal assistance programs.","This massive amount shows how much your daily life depends on federal programs, from school funding to disaster relief. Understanding these numbers helps you make informed decisions about candidates who promise to cut government spending.","federal; government; presidential powers","[{""name"":""Judge blocks Trump federal funding freeze on all public loans, grants and more aid - CBS News"",""url"":""https://www.cbsnews.com/news/trump-freeze-federal-loans-grants-white-house-memo/""},{""name"":""Democratic states plan to sue over Trump's federal grant funding freeze - CBS News"",""url"":""https://www.cbsnews.com/news/trump-funding-freeze-lawsuit-democratic-attorneys-general/""}]","✓ Detailed explanation; ✓ Well-tagged"
"7","Multiple Choice","Comprehension","Judicial Review","What legal principle did Judge McConnell cite when blocking the funding freeze?","The executive branch cannot act without congressional approval","The funding freeze fundamentally undermines the distinct constitutional roles of each branch of government","States have sovereign immunity from federal budget decisions","The president lacks emergency powers during peacetime","The funding freeze fundamentally undermines the distinct constitutional roles of each branch of government","Think about the core constitutional principle that keeps different branches of government in their proper roles.","This ruling protects the balance of power that prevents any one branch from becoming too powerful. When you vote, you're participating in a system designed to prevent government overreach through these constitutional checks and balances.","constitution; government; judicial; checks and balances","[{""name"":""A second federal judge has ruled to block the Trump administration's spending freeze - NPR (Alternative)"",""url"":""https://npr.org""},{""name"":""Second federal judge extends block preventing the Trump administration from freezing funding - AP News (Alternative)"",""url"":""https://apnews.com""}]","✓ Detailed explanation; ✓ Well-tagged"
"8","Multiple Choice","Comprehension","Public Policy","Which types of programs were specifically targeted in the Trump administration's funding review?","Military and defense programs","Social Security and Medicare","DEI, climate change, and transgender programs","Infrastructure and transportation projects","DEI, climate change, and transgender programs","Consider what the administration called 'woke' policies that they wanted to eliminate.","This targeting shows how presidential priorities can affect specific communities and programs. Your vote determines who gets to make these decisions about which programs deserve funding and which don't.","president; policy; presidential powers","[{""name"":""Judge blocks Trump federal funding freeze on all public loans, grants and more aid - CBS News"",""url"":""https://www.cbsnews.com/news/trump-freeze-federal-loans-grants-white-house-memo/""},{""name"":""Democratic states plan to sue over Trump's federal grant funding freeze - CBS News"",""url"":""https://www.cbsnews.com/news/trump-funding-freeze-lawsuit-democratic-attorneys-general/""}]","✓ Detailed explanation; ✓ Well-tagged"
"9","Multiple Choice","Comprehension","Government","What happened to the original OMB memo after legal challenges were filed?","It was modified to exclude certain programs","It was completely rescinded by the White House","It was upheld by federal courts","It was transferred to a different agency","It was completely rescinded by the White House","Think about how the administration responded when faced with immediate legal pressure.","This shows how legal challenges can force government officials to back down from questionable actions. Your right to challenge government decisions through the courts is a crucial check on executive power.","government; executive","[{""name"":""Second judge temporarily blocks federal funding freeze efforts by Trump administration - PBS News"",""url"":""https://www.pbs.org/newshour/politics/second-judge-temporarily-blocks-federal-funding-freeze-efforts-by-trump-administration""},{""name"":""Another Judge Halts Trump's Federal Funding Freeze - Democracy Docket"",""url"":""https://www.democracydocket.com/news-alerts/nonprofits-sue-trump-administration-over-federal-grants-freeze/""}]","✓ Detailed explanation"
"10","Multiple Choice","Comprehension","Federalism","Which essential services were mentioned as being jeopardized by the funding freeze?","National defense and border security","Healthcare, education, disaster relief, and law enforcement","Space exploration and scientific research","International trade and diplomacy","Healthcare, education, disaster relief, and law enforcement","Consider the basic services that states provide to their residents using federal funding.","These are services you interact with daily, from your local schools to emergency response. Understanding how federal funding supports state services helps you see why voting in both federal and state elections matters for your community.","voting; election; federal; state","[{""name"":""Attorney General Neronha co-leads 22 states and the District of Columbia in suing to stop Trump Administration - RI Attorney General"",""url"":""https://riag.ri.gov/press-releases/attorney-general-neronha-co-leads-22-states-and-district-columbia-suing-stop-trump""},{""name"":""Associated Press News"",""url"":""https://apnews.com""}]","✓ Detailed explanation; ✓ Well-tagged"
